,current_pct,employer_cap
164,3.75,8.25
165,8.75,9.5
166,11.5,12.75
167,15.0,8.5
168,5.25,5.0
169,3.75,7.25
170,11.5,6.0
171,5.5,4.0
172,7.0,5.5
173,12.0,5.25
174,11.0,12.0
175,6.5,8.75
176,11.75,2.25
177,3.25,12.75
178,3.25,3.0
179,5.25,7.75
180,10.25,4.5
181,11.25,7.25
182,6.75,9.0
183,2.5,9.25
184,11.5,13.5
185,7.75,6.25
186,6.75,3.75
187,2.0,3.0
188,4.5,4.75
189,13.0,8.75
190,10.25,7.0
191,14.25,5.0
192,6.75,10.75
193,8.75,13.5
194,11.25,9.25
195,11.5,2.25
196,10.5,8.25
197,7.75,8.75
198,12.25,16.5
199,10.5,7.25
200,4.5,7.0
201,1.75,13.0
202,12.5,5.5
203,6.0,9.25
204,8.0,9.25
205,6.5,9.0
206,6.5,8.75
207,9.5,6.5
208,8.75,9.0
209,5.25,8.5
210,11.75,7.0
211,6.0,14.25
212,8.25,12.0
213,11.75,5.5
214,16.0,4.25
215,5.0,6.5
216,7.75,16.75
217,4.75,6.75
218,8.75,5.75
219,5.25,4.75
220,14.5,5.5
221,7.75,7.25
222,11.25,9.0
223,2.75,8.5
224,6.0,10.5
225,8.25,10.5
226,8.0,5.0
227,8.75,13.75
228,6.75,1.75
229,4.5,8.0
230,7.25,13.0
231,12.0,7.75
232,8.25,15.0
233,7.5,2.25
234,5.5,7.0
235,11.5,5.5
236,9.75,11.0
237,8.25,7.5
238,7.75,8.5
239,2.25,12.75
240,6.5,7.75
241,4.75,13.0
242,4.75,7.25
243,5.0,14.0
244,6.25,4.25
245,3.25,3.5
246,3.0,4.5
247,7.5,9.0
248,4.0,2.75
249,6.5,12.5
250,5.75,12.25
251,8.0,4.0
252,6.25,5.5
253,7.75,11.5
254,5.0,6.25
255,4.5,7.5
256,6.0,9.75
257,14.75,9.5
258,5.25,11.75
259,7.25,6.25
260,8.5,7.5
261,3.75,6.0
262,6.5,11.25
263,7.75,7.5
264,11.5,4.0
265,7.75,4.75
266,8.25,5.0
267,8.25,11.25
268,11.75,8.75
269,9.25,2.5
270,12.5,1.0
271,7.25,6.5
272,11.75,6.25
273,11.0,3.0
274,11.5,16.5
275,6.25,10.25
276,9.5,5.25
277,7.5,7.75
278,4.0,6.25
279,7.25,13.0
280,8.75,10.5
281,4.75,6.0
282,7.5,6.0
283,13.25,7.25
284,4.5,10.5
285,11.0,2.0
286,14.25,6.25
287,4.75,12.0
288,4.75,6.75
289,11.5,7.25
290,5.25,11.0
291,4.25,11.0
292,4.75,5.75
293,13.0,7.75
294,3.75,6.5
295,3.0,4.75
296,7.0,5.5
297,13.0,5.5
298,9.0,7.75
299,8.75,9.0
300,14.5,10.25
301,5.5,11.0
302,9.0,5.25
303,4.5,9.0
304,7.75,3.75
305,9.25,4.5
306,8.25,6.75
307,8.5,14.0
308,5.0,3.75
309,4.25,7.25
310,4.25,9.0
311,14.0,13.0
312,6.0,11.0
313,5.25,9.5
314,10.75,3.5
315,5.75,11.0
316,6.0,5.0
317,6.5,3.75
318,8.0,10.0
319,10.5,3.25
320,4.75,8.75
321,13.0,8.0
322,9.25,8.5
323,5.75,13.5
324,12.25,5.75
325,11.5,11.25
326,10.25,9.5
327,16.25,6.75
328,11.75,5.5
329,9.0,13.5
330,11.5,8.0
331,12.25,3.0
332,2.25,8.5
333,2.25,13.75
334,4.0,10.0
335,10.75,8.75
336,6.0,7.0
337,3.0,10.0
338,5.75,7.5
339,8.25,1.0
340,10.25,6.0
341,5.25,6.25
342,9.0,5.5
343,9.0,4.75
344,14.0,9.0
345,8.25,7.5
346,17.75,11.5
347,7.0,8.75
348,6.25,4.0
349,10.5,7.0
350,12.75,4.75
351,4.0,6.25
352,5.0,8.0
353,8.25,7.0
354,10.5,1.0
355,3.5,8.5
356,8.25,13.5
357,13.5,6.0
358,8.5,5.5
359,9.0,7.5
360,16.0,4.75
361,9.75,7.0
362,10.75,12.5
363,13.0,14.75
364,10.0,6.5
365,7.0,7.75
366,10.5,8.75
367,8.75,5.25
368,7.75,12.25
369,16.25,5.25
370,11.0,8.0
371,10.75,4.0
372,10.5,6.25
373,3.5,5.75
374,10.25,2.75
375,6.75,8.0
376,5.25,9.75
377,7.5,12.25
378,7.25,8.5
379,14.5,8.0
380,5.75,7.25
381,5.0,7.0
382,5.75,6.0
383,11.5,9.0
384,2.75,6.5
385,10.25,5.0
386,8.75,13.5
387,10.5,9.5
388,8.0,13.75
389,10.0,10.75
390,11.0,8.0
391,5.5,4.5
392,3.5,7.75
393,10.75,3.75
394,9.5,7.25
395,8.75,8.5
396,2.25,11.0
397,10.0,8.75
398,4.75,13.5
399,11.0,5.5
400,14.25,6.75
401,10.75,10.5
402,7.0,10.75
403,6.75,10.75
404,3.75,6.0
405,5.5,8.25
406,7.25,8.25
407,12.5,5.75
408,5.5,6.0
409,10.75,8.5
410,10.25,3.75
411,3.5,7.5
412,8.25,13.75
413,9.75,2.75
414,7.0,11.75
415,13.5,12.25
416,10.25,7.5
417,8.5,12.25
418,8.5,11.25
419,12.0,4.0
420,4.25,5.75
421,7.0,8.75
422,8.5,8.5
423,8.5,7.25
424,4.5,6.75
425,9.5,11.75
426,0.75,12.5
427,8.75,5.5
428,1.75,13.5
429,9.25,6.25
430,6.75,2.75
431,12.25,7.25
432,6.0,5.75
433,11.25,10.0
434,10.5,9.25
435,5.25,8.0
436,5.25,3.5
437,6.5,8.5
438,7.0,11.25
439,5.25,6.5
440,9.75,4.25
441,4.75,9.5
442,5.0,12.25
443,6.5,12.25
444,11.25,13.75
445,5.5,8.75
446,10.5,6.0
447,14.75,5.0
448,10.5,4.0
449,7.5,10.75
450,8.25,9.75
451,9.75,11.75
452,2.5,11.75
453,2.25,9.5
454,4.5,13.0
455,5.25,12.75
456,8.0,6.25
457,6.75,6.0
458,8.5,6.0
459,9.0,11.0
460,11.75,8.25
461,3.5,10.25
462,9.0,11.5
463,11.25,6.0
464,14.0,4.0
465,3.0,11.75
466,6.5,4.0
467,9.75,4.75
468,8.5,16.5
469,16.0,6.0
470,11.0,6.25
471,8.0,6.5
472,11.0,8.5
473,2.5,7.0
474,11.75,8.5
475,10.75,8.25
476,4.0,10.75
477,7.75,6.75
478,0.5,8.25
479,2.25,11.25
480,13.75,7.75
481,3.5,5.25
482,4.25,9.25
483,14.5,3.5
484,5.0,7.0
485,4.5,8.25
486,2.5,4.25
487,10.0,2.75
488,7.25,9.5
489,7.25,12.5
490,6.0,2.0
491,5.75,5.25
492,4.0,6.5
493,9.25,6.75
494,10.25,10.5
495,7.5,2.5
496,8.75,10.5
497,7.0,3.25
498,9.0,8.5
499,14.5,4.0
500,6.0,4.25
501,3.5,12.5
502,12.25,10.25
503,9.75,13.0
504,11.0,8.75
505,11.25,6.75
506,1.5,13.25
507,7.0,12.75
508,7.5,2.25
509,7.0,11.25
510,7.75,5.0
511,12.0,7.5
512,1.5,4.25
513,9.0,9.0
514,9.5,4.5
515,9.0,7.75
516,9.0,4.75
517,12.0,12.75
518,7.75,6.5
519,1.75,1.5
520,3.0,4.75
521,8.75,5.0
522,7.75,10.25
523,6.0,11.0
524,10.0,11.0
525,4.25,6.25
526,4.5,9.25
527,9.0,5.25
528,7.25,10.25
529,11.25,4.0
530,4.0,8.0
531,8.5,8.5
532,8.5,5.75
533,7.5,3.0
534,3.25,10.25
535,7.75,9.25
536,6.75,6.0
537,4.75,13.0
538,7.0,5.75
539,4.0,1.0
540,11.25,8.25
541,5.75,11.25
542,7.5,9.25
543,5.25,8.5
544,3.0,3.0
545,11.0,11.0
546,4.5,4.25
547,7.5,12.0
548,5.75,9.75
549,11.75,13.75
550,7.5,5.0
551,13.25,7.0
552,9.25,6.5
553,7.75,9.5
554,4.25,8.5
555,12.0,9.75
556,5.75,3.0
557,9.75,3.5
558,14.25,8.75
559,13.25,9.0
560,10.0,5.75
561,7.25,7.5
562,6.25,13.0
563,1.5,9.5
564,7.5,5.25
565,2.25,3.75
566,9.0,11.0
567,5.0,6.0
568,8.5,6.25
569,7.25,11.0
570,9.25,3.75
571,8.25,7.25
572,14.75,9.0
573,14.25,9.75
574,5.0,4.25
575,9.25,8.25
576,10.0,1.25
577,3.5,4.75
578,6.5,6.5
579,4.75,3.5
580,10.25,11.25
581,9.5,5.5
582,12.0,4.25
583,16.25,8.75
584,10.25,11.75
585,10.0,3.0
586,10.5,3.25
587,5.75,6.0
588,12.5,4.25
589,11.25,13.0
590,7.5,15.5
591,8.0,3.25
592,9.0,12.75
593,11.0,9.25
594,13.75,6.75
595,15.5,6.5
596,4.25,3.25
597,7.75,11.0
598,5.75,6.25
599,4.5,4.5
600,2.25,4.75
601,2.0,7.75
602,4.5,5.25
603,1.5,14.25
604,4.25,8.0
605,11.75,6.75
606,5.0,8.25
607,3.25,8.75
608,10.25,14.0
609,10.75,4.75
610,11.0,10.0
611,10.0,3.75
612,15.0,6.25
613,4.25,4.0
614,6.5,5.0
615,10.5,4.75
616,10.75,5.0
617,1.5,4.5
618,11.75,8.75
619,7.0,2.75
620,10.75,3.5
621,8.25,2.25
622,10.75,10.25
623,5.0,1.75
624,7.75,7.25
625,9.5,11.0
626,5.5,12.75
627,8.0,10.5
628,9.75,8.75
629,4.0,8.25
630,5.25,12.75
631,10.0,12.0
632,9.25,10.0
633,2.5,14.5
634,7.0,8.75
635,3.25,10.75
636,9.25,7.0
637,2.5,12.0
638,6.75,12.5
639,4.75,1.75
640,4.25,13.25
641,7.5,8.25
642,7.25,9.5
643,3.0,8.75
644,9.5,6.75
645,7.25,8.25
646,5.25,1.75
647,11.75,8.75
648,6.25,8.0
649,10.75,9.5
650,5.25,7.5
651,2.75,10.5
652,8.0,3.75
653,6.75,4.75
654,5.25,7.0
655,4.5,4.25
656,10.0,5.0
657,5.25,8.25
658,8.25,7.5
659,9.75,6.75
660,8.25,9.0
661,17.0,4.0
662,6.5,10.0
663,4.0,11.0
664,9.0,8.0
665,8.5,4.5
666,3.5,5.25
667,8.0,7.75
668,8.0,2.5
669,8.5,7.0
670,8.5,9.5
671,3.75,12.0
672,4.75,10.75
673,10.25,5.75
674,2.75,11.5
675,15.5,11.5
676,5.75,7.25
677,4.25,4.5
678,10.75,8.5
679,10.5,8.5
680,6.75,10.25
681,6.75,9.75
682,7.25,11.0
683,4.5,7.25
684,14.25,5.5
685,11.75,9.75
686,10.75,15.25
687,11.0,12.0
688,6.75,6.25
689,2.25,15.0
690,3.0,3.75
691,8.5,8.5
692,3.25,9.5
693,8.75,6.75
694,4.0,5.5
695,8.0,4.5
696,6.5,5.25
697,4.75,6.75
698,8.25,12.0
699,12.75,10.25
700,13.25,5.25
701,4.25,4.75
702,7.25,3.0
703,8.0,10.25
704,11.0,13.5
705,4.0,12.5
706,11.5,10.0
707,5.0,3.25
708,8.0,11.0
709,9.0,8.5
710,5.75,4.0
711,7.25,6.75
712,5.25,8.75
713,10.25,13.0
714,4.25,9.25
715,2.25,7.75
716,11.0,5.75
717,7.0,1.5
718,5.25,3.25
719,7.5,4.0
720,8.0,8.0
721,5.75,5.75
722,8.5,6.5
723,6.25,6.75
724,4.5,7.5
725,7.75,7.75
726,5.5,12.0
727,0.75,3.0
728,10.25,9.0
729,9.75,14.0
730,9.5,7.25
731,5.0,9.0
732,17.25,1.75
733,13.25,8.25
734,11.75,10.75
735,7.25,4.75
736,9.0,7.75
737,12.75,7.75
738,8.75,2.5
739,3.5,4.75
740,5.0,5.25
741,10.5,5.75
742,7.25,1.5
743,6.5,9.0
744,7.75,10.25
745,2.25,2.0
746,8.75,5.0
747,7.0,7.25
748,2.5,9.25
749,5.25,11.5
750,4.0,9.25
751,8.75,7.0
752,6.25,1.5
753,4.25,11.0
754,13.25,10.25
755,11.25,11.0
756,7.0,11.5
757,7.5,4.0
758,7.5,8.25
759,8.5,3.75
760,5.5,7.25
761,13.5,10.0
762,10.25,10.5
763,7.0,12.25
764,7.75,14.0
765,6.75,12.25
766,4.75,5.75
767,12.0,8.25
768,2.0,8.25
769,5.25,15.5
770,12.0,4.25
771,12.0,13.25
772,8.0,9.5
773,4.75,9.5
774,4.25,9.75
775,7.5,10.25
776,3.5,14.0
777,8.0,3.75
778,10.5,4.25
779,7.0,7.0
780,8.25,5.25
781,10.25,6.75
782,8.5,5.75
783,6.5,9.0
784,14.0,10.25
785,9.0,12.75
786,10.5,8.0
787,9.0,1.75
788,8.5,10.25
789,7.75,11.75
790,10.0,7.0
791,3.25,3.25
792,12.5,11.0
793,7.25,5.5
794,2.75,7.25
795,5.0,4.75
796,5.25,11.75
797,2.75,7.75
798,8.0,13.75
799,8.25,8.75
800,6.0,5.25
801,6.0,7.25
802,4.0,11.75
803,8.75,9.75
804,13.0,3.75
805,6.0,9.5
806,7.0,4.25
807,9.5,12.75
808,7.5,9.0
809,6.0,7.0
810,7.5,11.25
811,3.5,12.75
812,5.5,9.0
813,5.5,15.5
814,9.25,7.0
815,11.0,2.25
816,9.5,9.75
817,7.5,7.25
818,9.75,9.75
819,5.0,10.0
820,8.75,3.75
821,13.0,7.25
822,7.25,6.25
823,9.5,6.5
824,4.5,3.75
825,9.0,10.5
826,10.75,7.0
827,9.0,5.25
828,11.75,8.0
829,10.5,11.75
830,9.0,11.5
831,8.5,4.25
832,8.5,9.25
833,5.75,11.5
834,2.25,9.5
835,10.25,5.75
836,10.5,7.0
837,10.75,10.25
838,0.5,9.0
839,4.75,5.5
840,7.25,11.5
841,7.0,6.75
842,10.75,11.5
843,6.25,9.25
844,4.5,4.0
845,12.5,5.25
846,11.75,8.5
847,6.0,5.25
848,11.5,9.0
849,2.25,10.25
850,9.25,13.75
851,10.5,7.5
852,13.0,6.0
853,1.75,6.5
854,4.25,8.75
855,8.0,5.0
856,5.25,9.75
857,5.25,8.75
858,10.0,16.0
859,6.25,15.25
860,12.5,12.25
861,11.5,4.75
862,10.25,4.25
863,9.5,6.25
864,8.75,5.5
865,11.25,9.0
866,6.25,9.0
867,15.0,2.75
868,13.75,5.5
869,1.25,5.0
870,4.5,3.5
871,8.25,3.75
872,11.0,3.0
873,4.25,5.5
874,11.0,1.5
875,5.75,9.75
876,8.5,9.25
877,8.0,12.0
878,5.0,7.0
879,8.75,11.0
880,6.0,6.0
881,4.25,5.25
882,1.75,8.5
883,10.0,1.25
884,8.25,2.75
885,8.5,7.25
886,4.25,9.25
887,7.0,10.0
888,8.25,3.75
889,5.75,8.75
890,12.75,9.0
891,9.75,5.75
892,7.5,8.0
893,8.75,8.75
894,2.25,10.5
895,1.75,7.75
896,4.0,7.75
897,9.5,3.0
898,10.25,7.75
899,14.75,12.0
900,8.25,10.25
901,6.75,4.5
902,9.25,9.75
903,6.0,11.25
904,11.75,2.5
905,8.25,10.75
906,6.5,12.75
907,4.0,6.75
908,11.0,9.75
909,2.5,16.0
910,2.0,11.75
911,9.5,1.75
912,6.25,11.0
913,6.75,10.25
914,5.0,5.5
915,6.75,8.0
916,12.75,3.0
917,4.25,12.5
918,14.25,8.25
919,11.25,6.5
920,6.75,3.25
921,5.75,4.5
922,6.0,13.75
923,10.75,9.5
924,5.5,8.75
925,5.75,2.25
926,5.75,10.75
927,10.0,12.0
928,9.25,9.0
929,4.25,2.5
930,7.0,4.75
931,7.25,4.25
932,8.75,4.5
933,10.5,10.75
934,3.75,6.75
935,8.0,11.5
936,10.25,5.5
937,7.25,4.25
938,4.5,5.5
939,6.5,4.25
940,9.75,6.25
941,8.5,3.75
942,8.0,6.5
943,5.5,7.5
944,12.75,7.5
945,6.5,12.5
946,5.5,13.25
947,13.25,8.0
948,10.25,5.5
949,12.0,10.5
950,9.25,7.75
951,15.75,5.75
952,7.25,8.25
953,7.25,11.5
954,6.5,12.25
955,9.5,14.25
956,8.25,9.0
957,9.5,10.5
958,5.0,10.75
959,10.0,6.75
960,10.25,3.75
961,8.25,7.25
962,5.5,5.0
963,12.75,13.75
964,10.75,10.25
965,9.5,1.75
966,3.5,4.75
967,8.5,6.75
968,9.5,11.0
969,5.75,7.75
970,5.75,13.5
971,10.75,8.75
972,8.0,11.0
973,5.5,6.75
974,7.0,7.75
975,3.25,11.0
976,8.0,10.75
977,16.0,10.0
978,8.5,6.75
979,9.5,1.0
980,7.5,7.75
981,4.75,10.25
982,7.25,8.75
983,7.25,6.0
984,12.25,9.25
985,5.75,5.0
986,11.25,8.75
987,5.5,8.5
988,9.5,7.25
989,3.75,5.5
990,9.5,4.25
991,6.0,5.0
992,3.0,8.75
993,5.0,4.25
994,9.0,7.0
995,8.5,8.75
996,2.75,11.0
997,9.25,3.5
998,7.0,6.5
999,5.25,9.25
1000,5.5,13.5
1001,8.75,7.75
1002,7.25,5.75
1003,5.25,3.75
1004,6.25,4.5
1005,5.25,8.75
1006,6.0,7.0
1007,3.25,5.75
1008,2.75,7.0
1009,5.5,2.75
1010,10.0,6.5
1011,7.5,2.75
1012,9.0,8.25
1013,7.25,10.25
1014,8.75,4.0
1015,5.25,7.25
1016,5.5,9.25
1017,7.25,6.5
1018,11.25,6.25
1019,4.5,9.25
1020,5.75,7.75
1021,6.0,6.25
1022,14.75,9.0
1023,8.0,14.25
1024,7.5,4.5
1025,6.0,9.25
1026,0.75,10.75
1027,10.75,6.0
1028,3.5,8.5
1029,7.0,11.25
1030,3.5,6.25
1031,10.75,4.25
1032,9.5,3.25
1033,2.75,4.5
1034,5.0,8.0
1035,7.75,13.5
1036,1.25,5.25
1037,1.5,4.25
1038,6.25,7.75
1039,10.0,7.0
1040,6.5,10.75
1041,11.0,5.0
1042,7.75,10.25
1043,6.5,9.5
1044,10.5,16.25
1045,4.0,3.75
1046,9.5,8.25
1047,11.0,3.75
1048,6.5,9.0
1049,2.75,10.5
1050,1.0,7.25
1051,5.25,3.5
1052,6.0,6.75
1053,7.0,2.5
1054,7.25,13.25
1055,5.75,11.25
1056,4.75,6.0
1057,3.75,3.0
1058,3.25,0.75
1059,8.25,9.5
1060,10.5,8.75
1061,4.25,8.25
1062,9.75,7.0
1063,5.75,4.5
1064,9.75,10.0
1065,11.0,8.5
1066,7.75,7.75
1067,3.5,4.0
1068,3.5,11.0
1069,7.0,6.0
1070,4.25,3.5
1071,10.75,4.0
1072,5.75,3.0
1073,8.25,7.0
1074,8.5,7.75
1075,13.0,9.0
1076,5.5,3.0
1077,7.5,4.75
1078,8.5,7.0
1079,6.25,7.25
1080,6.25,8.0
1081,5.0,4.0
1082,9.25,6.25
1083,9.0,4.75
1084,8.75,7.0
1085,13.5,13.5
1086,8.75,2.5
1087,4.25,10.0
1088,6.75,9.5
1089,3.5,5.75
1090,5.5,5.5
1091,12.75,5.0
1092,9.25,4.25
1093,5.25,1.25
1094,14.0,9.25
1095,3.25,5.5
1096,7.25,3.0
1097,11.25,11.25
1098,11.0,14.25
1099,4.25,16.75
1100,4.75,5.75
1101,5.75,7.5
1102,6.25,5.0
1103,9.75,9.25
1104,4.75,3.5
1105,6.25,8.75
1106,5.5,7.25
1107,8.5,3.5
1108,6.25,8.75
1109,6.25,10.0
1110,12.25,2.75
1111,3.0,8.25
1112,4.5,11.0
1113,8.25,7.0
1114,4.5,10.75
1115,6.25,5.75
1116,9.0,6.0
1117,9.75,5.0
1118,6.75,12.0
1119,8.75,7.25
1120,5.25,9.5
1121,7.0,15.0
1122,8.25,9.0
1123,8.75,10.25
1124,8.0,6.75
1125,2.5,8.0
1126,8.75,11.5
1127,14.25,6.0
1128,9.75,3.5
1129,4.0,6.0
1130,12.0,11.0
1131,9.0,8.5
1132,11.0,8.0
1133,5.5,8.0
1134,12.5,13.0
1135,8.0,4.5
1136,9.0,5.5
1137,4.75,4.5
1138,6.5,3.5
1139,12.0,4.25
1140,11.25,5.0
1141,8.25,12.75
1142,7.5,11.5
1143,0.5,4.75
1144,5.25,5.75
1145,6.25,3.5
1146,6.0,4.25
1147,6.25,2.25
1148,5.75,8.75
1149,3.0,4.75
1150,12.25,4.0
1151,6.75,7.25
1152,5.0,2.0
1153,6.5,6.75
1154,5.5,10.75
1155,3.25,13.0
1156,3.25,9.0
1157,3.75,5.25
1158,5.75,11.0
1159,7.0,6.25
1160,8.25,10.5
1161,6.75,4.0
1162,5.75,6.75
1163,5.75,7.5
1164,6.75,4.0
1165,5.0,4.0
1166,6.5,6.0
1167,10.25,7.75
1168,8.25,9.5
1169,8.25,15.0
1170,5.5,11.5
1171,8.5,5.0
1172,11.0,8.5
1173,13.25,11.25
1174,8.75,12.25
1175,5.0,6.5
1176,8.75,10.75
1177,7.25,12.0
1178,14.5,8.25
1179,8.75,3.5
1180,4.5,9.25
1181,12.0,13.25
1182,9.25,13.0
1183,1.0,6.5
1184,9.0,10.75
1185,9.0,9.25
1186,14.0,6.5
1187,4.0,10.25
1188,7.0,12.0
1189,5.5,9.5
1190,3.25,6.75
1191,5.5,9.0
1192,10.5,6.25
1193,7.5,10.0
1194,13.25,7.5
1195,3.25,10.5
1196,10.75,3.75
1197,13.0,7.75
1198,5.25,4.5
1199,12.75,6.75
1200,6.5,11.75
1201,0.5,9.5
1202,3.75,12.5
1203,5.5,9.5
1204,8.75,10.0
1205,13.75,5.0
1206,7.75,7.0
1207,4.75,13.75
1208,10.5,7.25
1209,9.75,5.25
1210,4.25,8.5
1211,6.0,10.0
1212,7.5,10.0
1213,10.5,10.0
1214,3.25,9.75
1215,12.0,9.75
1216,3.5,13.0
1217,10.75,5.75
1218,10.25,10.25
1219,11.75,7.0
1220,2.5,11.5
1221,7.0,9.0
1222,3.25,11.5
1223,10.5,7.25
1224,5.0,11.5
1225,8.75,7.0
1226,12.0,2.75
1227,4.0,5.75
1228,14.25,10.25
1229,4.25,6.5
1230,11.0,7.75
1231,4.75,8.25
1232,15.0,8.5
1233,9.25,3.5
1234,12.0,7.0
1235,7.75,10.75
1236,6.0,7.5
1237,6.0,10.5
1238,8.75,12.25
1239,7.25,5.75
1240,11.25,15.0
1241,10.75,7.5
1242,10.5,12.0
1243,11.0,9.25
1244,10.0,6.75
1245,7.25,3.5
1246,5.25,8.25
1247,6.0,14.0
1248,9.25,6.5
1249,5.5,6.5
1250,10.0,9.75
1251,4.0,7.25
1252,9.75,8.75
1253,8.25,4.75
1254,5.25,11.5
1255,4.25,10.5
1256,13.5,6.5
1257,8.5,9.25
1258,4.5,4.0
1259,13.25,6.75
1260,12.25,5.5
1261,10.0,9.5
1262,4.75,10.75
1263,6.0,1.75
1264,1.5,5.75
1265,4.75,10.75
1266,6.5,7.5
1267,8.25,13.0
1268,10.5,7.75
1269,5.25,6.5
1270,2.75,13.5
1271,3.25,9.0
1272,10.0,7.75
1273,12.5,13.5
1274,6.5,8.25
1275,8.25,11.5
1276,12.0,14.75
1277,6.75,5.0
1278,6.75,13.0
1279,10.25,6.75
1280,10.75,5.25
1281,7.0,11.5
1282,10.0,5.5
1283,5.25,6.25
1284,7.75,15.25
1285,8.25,12.5
1286,4.75,7.5
1287,5.25,7.5
1288,6.25,2.25
1289,10.75,9.75
1290,11.75,5.5
1291,11.75,5.5
1292,11.0,11.75
1293,6.0,1.75
1294,14.0,1.0
1295,1.75,3.75
1296,10.75,6.75
1297,8.5,7.25
1298,3.75,10.75
1299,6.5,8.0
1300,8.25,7.25
1301,3.75,6.5
1302,7.25,8.25
1303,4.5,2.75
1304,9.25,5.0
1305,9.5,4.0
1306,3.0,5.5
1307,8.0,9.25
1308,9.5,5.0
1309,2.0,8.25
1310,9.25,5.75
1311,11.0,7.25
1312,13.25,8.75
1313,9.0,15.25
1314,4.25,7.5
1315,8.5,7.0
1316,8.75,13.0
1317,10.25,10.0
1318,13.0,7.75
1319,8.0,9.25
1320,8.25,6.75
1321,7.75,13.25
1322,7.25,5.0
1323,9.0,5.75
1324,5.0,7.75
1325,10.75,3.75
1326,9.0,7.0
1327,8.25,11.75
1328,4.5,10.5
1329,3.75,12.0
1330,11.25,6.0
1331,13.5,6.0
1332,9.0,8.0
1333,14.75,7.25
1334,11.25,8.25
1335,4.25,11.75
1336,8.25,9.5
1337,6.25,8.5
1338,9.0,10.25
1339,7.75,4.5
1340,10.5,10.0
1341,10.5,7.0
1342,5.25,2.0
1343,7.75,12.0
1344,8.75,5.0
1345,8.75,11.75
1346,11.5,8.0
1347,4.25,6.0
1348,4.75,11.25
1349,5.0,6.75
1350,11.25,10.75
1351,10.5,9.5
1352,5.25,11.5
1353,7.5,4.0
1354,3.25,7.75
1355,3.5,5.0
1356,5.0,9.5
1357,11.0,11.5
1358,9.75,7.25
1359,5.0,2.75
1360,5.75,10.25
