,last_login
466,52.9
467,4.1
468,24.6
469,80.5
470,87.9
471,5.6
472,14.6
473,1.9
474,28.2
475,62.0
476,2.7
477,2.0
478,4.6
479,17.9
480,22.7
481,20.3
482,19.0
483,34.8
484,14.2
485,23.2
486,36.6
487,4.8
488,30.5
489,2.1
490,1.9
491,2.0
492,35.6
493,3.3
494,25.2
495,7.4
496,32.3
497,13.5
498,4.1
499,7.6
500,15.3
501,8.0
502,22.8
503,37.4
504,19.2
505,93.0
506,51.9
507,72.0
508,28.6
509,11.3
510,35.0
511,18.6
512,15.4
513,3.0
514,39.9
515,13.1
516,41.9
517,14.6
518,34.2
519,20.3
520,37.6
521,83.6
522,1.1
523,33.5
524,183.6
525,26.9
526,42.9
527,16.2
528,8.2
529,48.7
530,101.6
531,22.1
532,74.6
533,8.3
534,30.4
535,27.3
536,2.0
537,2.0
538,56.7
539,58.1
540,3.0
541,3.4
542,21.2
543,32.3
544,28.8
545,3.9
546,4.9
547,5.8
548,6.6
549,3.2
550,44.7
551,29.8
552,3.2
553,4.3
554,14.2
555,41.7
556,11.7
557,6.3
558,55.6
559,39.8
560,18.9
561,58.9
562,18.8
563,6.7
564,28.9
565,22.7
566,59.2
567,17.0
568,5.3
569,32.1
570,125.9
571,35.7
572,15.8
573,50.6
574,19.3
575,3.2
576,20.0
577,34.7
578,18.2
579,50.7
580,6.2
581,24.1
582,3.5
583,6.7
584,2.4
585,20.0
586,25.6
587,5.6
588,7.2
589,22.3
590,8.1
591,23.1
592,26.7
593,13.7
594,95.9
595,13.2
596,78.7
597,47.6
598,61.8
599,34.2
600,0.8
601,7.5
602,101.8
603,89.7
604,99.9
605,0.1
606,9.9
607,70.8
608,10.0
609,3.6
610,17.7
611,18.1
612,24.4
613,3.5
614,50.8
615,36.4
616,9.5
617,12.6
618,68.4
619,13.8
620,8.5
621,6.0
622,24.2
623,32.3
624,20.2
625,53.0
626,15.1
627,4.6
628,38.5
629,75.2
630,47.0
631,28.2
632,10.7
633,25.6
634,6.0
635,10.0
636,186.4
637,6.1
638,22.0
639,46.1
640,11.5
641,39.7
642,16.6
643,164.6
644,23.5
645,91.0
646,61.6
647,17.2
648,12.6
649,54.0
650,66.7
651,11.5
652,20.1
653,14.1
654,19.4
655,28.0
656,15.5
657,22.3
658,33.3
659,45.3
660,99.4
661,41.6
662,49.3
663,17.8
664,33.1
665,41.3
666,8.8
667,120.2
668,31.5
669,37.6
670,29.3
671,4.7
672,82.6
673,17.1
674,10.4
675,1.6
676,29.3
677,10.7
678,7.5
679,2.6
680,1.0
681,1.6
682,39.1
683,1.5
684,1.3
685,7.2
686,37.9
687,9.2
688,6.4
689,18.5
690,38.0
691,46.8
692,59.0
693,20.7
694,14.8
695,12.2
696,5.3
697,42.0
698,52.3
699,33.1
700,12.0
701,49.7
702,6.0
703,46.4
704,29.1
705,11.6
706,5.2
707,64.6
708,3.5
709,11.0
710,31.6
711,32.5
712,3.9
713,14.1
714,7.3
715,18.5
716,13.1
717,33.9
718,71.7
719,31.6
720,2.4
721,33.8
722,17.0
723,8.5
724,66.7
725,38.6
726,0.8
727,76.1
728,126.4
729,3.5
730,39.9
731,11.1
732,17.0
733,20.1
734,10.3
735,47.0
736,6.9
737,13.7
738,19.3
739,22.6
740,59.4
741,21.1
742,28.7
743,1.1
744,13.8
745,63.0
746,62.3
747,7.8
748,72.1
749,22.7
750,48.9
751,43.7
752,4.2
753,0.1
754,41.2
755,138.0
756,12.7
757,5.9
758,12.1
759,52.3
760,61.3
761,11.0
762,86.3
763,59.0
764,12.1
765,17.0
766,178.1
767,48.7
768,27.3
769,149.7
770,55.4
771,6.3
772,37.1
773,39.5
774,1.4
775,35.9
776,151.1
777,27.6
778,0.4
779,46.6
780,26.7
781,172.6
782,28.6
783,7.9
784,59.1
785,25.3
786,47.9
787,3.8
788,37.8
789,18.7
790,12.1
791,9.9
792,30.7
793,3.0
794,18.8
795,29.9
796,3.4
797,7.4
798,38.9
799,30.8
800,22.3
801,18.5
802,14.8
803,28.7
804,21.0
805,0.6
806,84.1
807,49.2
808,50.2
809,14.3
810,163.1
811,36.5
812,11.1
813,64.5
814,0.8
815,11.0
816,11.7
817,1.7
818,5.6
819,5.5
820,14.8
821,14.4
822,16.6
823,43.2
824,28.2
825,30.1
826,13.4
827,132.5
828,1.1
829,27.0
830,14.9
831,0.8
832,5.2
833,12.0
834,0.6
835,40.1
836,4.4
837,2.4
838,2.5
839,15.9
840,4.2
841,37.4
842,78.9
843,10.2
844,93.2
845,28.4
846,6.0
847,1.2
848,21.9
849,7.8
850,20.3
851,10.6
852,24.7
853,46.5
854,44.6
855,0.9
856,17.9
857,5.8
858,51.9
859,6.5
860,2.1
861,13.4
862,21.5
863,71.3
864,42.2
865,36.3
866,39.5
867,22.6
868,25.4
869,20.4
870,33.1
871,19.8
872,16.4
873,1.3
874,0.5
875,16.2
876,23.1
877,94.3
878,6.5
879,7.2
880,103.1
881,52.3
882,123.9
883,100.0
884,13.0
885,13.5
886,5.6
887,46.5
888,26.7
889,3.0
890,59.7
891,8.2
892,78.3
893,8.5
894,19.1
895,48.3
896,15.6
897,22.7
898,16.6
899,6.0
900,41.1
901,23.0
902,22.6
903,68.0
904,64.1
905,24.8
906,15.2
907,24.6
908,15.9
909,13.3
910,1.4
911,51.2
912,27.5
913,72.6
914,23.6
915,10.1
916,18.2
917,96.0
918,2.1
919,13.2
920,38.8
921,17.8
922,104.4
923,14.2
924,33.2
925,19.0
926,18.2
927,5.8
928,10.5
929,17.7
930,132.7
931,49.9
932,41.2
933,0.7
934,79.2
935,6.4
936,14.9
937,34.3
938,40.5
939,44.2
940,80.7
941,0.6
942,18.2
943,3.8
944,22.4
945,24.5
946,52.0
947,50.3
948,1.5
949,30.2
950,24.3
951,13.3
952,17.9
953,77.7
954,21.2
955,84.4
956,18.7
957,12.3
958,61.5
959,4.0
960,25.3
961,9.5
962,9.6
963,7.8
964,82.8
965,0.7
966,53.3
967,43.7
968,41.7
969,41.5
970,63.4
971,16.1
972,5.4
973,25.4
974,26.7
975,26.9
976,91.6
977,18.3
978,11.1
979,29.2
980,4.2
981,46.3
982,6.8
983,5.9
984,114.7
985,49.9
986,10.7
987,8.3
988,0.2
989,18.0
990,34.4
991,10.0
992,75.2
993,19.0
994,35.0
995,10.3
996,43.0
997,6.7
998,57.1
999,3.1
1000,15.9
1001,80.2
1002,65.0
1003,74.8
1004,54.1
1005,18.0
1006,28.5
1007,48.3
1008,16.8
1009,35.0
1010,22.9
1011,36.5
1012,6.7
1013,20.9
1014,53.5
1015,27.3
1016,50.3
1017,46.5
1018,18.3
1019,56.5
1020,44.6
1021,37.6
1022,1.2
1023,1.0
1024,42.7
1025,9.6
1026,11.2
1027,93.4
1028,28.1
1029,127.0
1030,36.6
1031,3.4
1032,1.8
1033,1.5
1034,0.7
1035,15.4
1036,43.9
1037,8.8
1038,14.9
1039,60.0
1040,61.5
1041,2.1
1042,13.1
1043,22.2
1044,45.1
1045,33.2
1046,4.2
1047,17.7
1048,24.4
1049,170.1
1050,23.2
1051,21.4
1052,44.0
1053,67.7
1054,23.4
1055,3.1
1056,38.7
1057,3.5
1058,26.1
1059,21.6
1060,29.3
1061,95.3
1062,79.7
1063,17.2
1064,2.6
1065,18.6
1066,52.3
1067,33.8
1068,31.4
1069,58.3
1070,19.7
1071,101.3
1072,71.8
1073,90.6
1074,25.3
1075,35.3
1076,4.6
1077,35.4
1078,3.9
1079,74.3
1080,19.3
1081,5.3
1082,21.5
1083,2.4
1084,13.2
1085,7.4
1086,71.9
1087,52.9
1088,10.2
1089,27.6
1090,20.6
1091,49.5
1092,52.9
1093,7.4
1094,6.4
1095,9.9
1096,2.0
1097,53.6
1098,44.6
1099,23.6
1100,122.6
1101,9.1
1102,26.4
1103,32.3
1104,13.0
1105,35.9
1106,66.0
1107,1.8
1108,20.4
1109,21.2
1110,18.4
1111,12.4
1112,14.2
1113,40.0
1114,2.6
1115,10.2
1116,33.8
1117,18.2
1118,5.0
1119,22.0
1120,3.5
1121,2.0
1122,35.3
1123,84.7
1124,22.4
1125,37.1
1126,9.7
1127,1.7
1128,22.5
1129,26.9
1130,43.1
1131,1.6
1132,0.1
1133,19.2
1134,22.1
1135,24.2
1136,37.3
1137,88.5
1138,25.0
1139,49.6
1140,4.3
1141,189.4
1142,101.4
1143,4.6
1144,29.5
1145,44.4
1146,10.9
1147,35.4
1148,11.4
1149,39.1
1150,32.8
1151,6.0
1152,6.5
1153,4.8
1154,30.1
1155,14.2
1156,38.3
1157,41.8
1158,18.8
1159,2.9
1160,48.7
1161,1.2
1162,47.0
1163,34.4
1164,46.2
1165,46.9
1166,20.0
1167,111.4
1168,64.7
1169,5.0
1170,5.7
1171,1.7
1172,127.4
1173,18.4
1174,3.9
1175,0.2
1176,85.7
1177,10.0
1178,8.0
1179,17.3
1180,33.7
1181,58.2
1182,21.3
1183,55.8
1184,65.1
1185,41.6
1186,14.2
1187,18.8
1188,0.9
1189,61.3
1190,13.8
1191,23.8
1192,48.3
1193,34.8
1194,52.0
1195,18.4
1196,125.4
1197,30.4
1198,23.7
1199,13.4
1200,3.4
1201,19.3
1202,1.8
1203,39.5
1204,2.8
1205,48.8
1206,9.7
1207,120.3
1208,19.4
1209,35.3
1210,27.9
1211,18.6
1212,12.0
1213,59.2
1214,8.6
1215,34.3
1216,4.2
1217,18.9
1218,9.6
1219,19.0
1220,7.3
1221,37.6
1222,105.5
1223,14.5
1224,1.1
1225,5.5
1226,15.8
1227,1.4
1228,16.9
1229,5.3
1230,70.3
1231,85.0
1232,10.1
1233,21.9
1234,13.6
1235,32.2
1236,31.4
1237,1.5
1238,0.9
1239,1.7
1240,10.5
1241,5.4
1242,8.7
1243,22.0
1244,133.8
1245,50.2
1246,13.5
1247,9.0
1248,4.3
1249,1.7
1250,13.7
1251,26.8
1252,64.1
1253,18.9
1254,15.0
1255,8.1
1256,74.7
1257,48.5
1258,16.5
1259,40.5
1260,19.4
1261,10.3
1262,24.4
1263,31.8
1264,5.9
1265,53.2
1266,15.6
1267,25.6
1268,18.0
1269,44.3
1270,24.0
1271,47.4
1272,10.5
1273,10.2
1274,12.8
1275,70.0
1276,35.5
1277,40.4
1278,17.9
1279,0.0
1280,3.9
1281,28.3
1282,28.8
1283,38.8
1284,27.6
1285,22.5
1286,20.7
1287,0.3
1288,46.4
1289,74.5
1290,29.4
1291,24.9
1292,19.2
1293,32.4
1294,53.3
1295,38.6
1296,1.6
1297,2.1
1298,26.5
1299,52.0
1300,16.5
1301,37.1
1302,30.8
1303,19.7
1304,152.9
1305,0.1
1306,37.8
1307,15.4
1308,17.4
1309,53.0
1310,57.1
1311,13.1
1312,21.9
1313,12.9
1314,24.9
1315,7.7
1316,6.6
1317,4.4
1318,90.6
1319,2.4
1320,20.3
1321,14.3
1322,20.2
1323,23.0
1324,10.8
1325,0.3
1326,11.0
1327,44.7
1328,32.8
1329,53.4
1330,0.8
1331,16.6
1332,29.9
1333,26.3
1334,30.3
1335,51.2
1336,6.2
1337,0.4
1338,20.9
1339,3.1
1340,1.6
1341,7.9
1342,3.2
1343,39.6
1344,37.6
1345,22.7
1346,0.5
1347,71.4
1348,48.1
1349,43.1
1350,39.3
1351,12.4
1352,32.4
1353,12.7
1354,16.7
1355,25.2
1356,31.1
1357,31.5
1358,7.5
1359,8.5
1360,37.1
1361,92.0
1362,10.0
1363,12.3
1364,28.5
1365,17.7
1366,5.5
1367,56.4
1368,26.5
1369,9.0
1370,33.9
1371,4.3
1372,147.6
1373,15.2
1374,68.6
1375,13.9
1376,20.4
1377,5.7
1378,62.0
1379,86.9
1380,8.8
1381,8.5
1382,7.3
1383,3.9
1384,23.0
1385,1.0
1386,51.8
1387,4.0
1388,35.0
1389,66.8
1390,11.4
1391,59.4
1392,17.3
1393,27.0
1394,15.8
1395,20.3
1396,19.8
1397,8.0
1398,0.9
1399,80.2
1400,3.0
1401,18.0
1402,31.5
1403,6.9
1404,25.6
1405,10.6
1406,36.9
1407,9.5
1408,1.2
1409,10.0
1410,27.7
1411,31.0
1412,38.1
1413,69.1
1414,17.6
1415,38.8
1416,15.5
1417,16.0
1418,7.1
1419,68.4
1420,46.0
1421,48.6
1422,78.4
1423,56.6
1424,78.6
1425,13.0
1426,16.4
1427,44.0
1428,5.3
1429,94.5
1430,30.3
1431,22.6
1432,12.1
1433,7.7
1434,11.7
1435,66.8
1436,2.5
1437,39.3
1438,33.6
1439,35.9
1440,25.2
1441,30.3
1442,24.3
1443,43.2
1444,5.5
1445,18.9
1446,51.4
1447,77.0
1448,45.6
1449,35.6
1450,50.6
1451,3.6
1452,2.7
1453,2.2
1454,2.2
1455,21.3
1456,1.2
1457,44.2
1458,45.1
1459,26.8
1460,0.2
1461,11.9
1462,4.7
1463,0.1
1464,11.9
1465,89.8
1466,4.8
1467,32.8
1468,10.4
1469,88.3
1470,56.1
1471,25.2
1472,30.6
1473,27.2
1474,23.0
1475,30.9
1476,36.0
1477,30.8
1478,5.3
1479,23.1
1480,27.2
1481,13.7
1482,122.0
1483,8.7
1484,5.9
1485,23.5
1486,7.3
1487,39.2
1488,2.2
1489,31.7
1490,22.2
1491,13.5
1492,5.7
1493,2.0
1494,1.8
1495,52.7
1496,8.1
1497,0.3
1498,33.7
1499,19.7
1500,15.0
1501,24.0
1502,39.8
1503,60.8
1504,12.8
1505,33.5
1506,28.1
1507,44.0
1508,79.0
1509,19.5
1510,13.8
1511,36.0
1512,7.1
1513,32.2
1514,5.8
1515,38.6
1516,26.2
1517,14.4
1518,0.1
1519,11.8
1520,66.7
1521,69.7
1522,23.7
1523,71.6
1524,20.9
1525,1.0
1526,16.3
1527,116.8
1528,24.2
1529,68.1
1530,42.5
1531,4.5
1532,43.8
1533,19.7
1534,7.1
1535,29.4
1536,10.6
1537,13.4
1538,2.7
1539,1.1
1540,23.2
1541,1.2
1542,10.9
1543,16.6
1544,10.7
1545,32.8
1546,8.1
1547,24.2
1548,13.5
1549,49.2
1550,9.9
1551,5.6
1552,16.1
1553,30.6
1554,11.0
1555,151.2
1556,41.1
1557,7.1
1558,11.5
1559,26.7
1560,6.4
1561,1.5
1562,2.5
1563,21.4
1564,6.8
1565,10.8
1566,60.0
1567,11.3
1568,22.1
1569,50.4
1570,52.1
1571,53.0
1572,4.6
1573,82.5
1574,42.2
1575,31.0
1576,102.9
1577,14.5
1578,21.5
1579,3.5
1580,58.1
1581,25.1
1582,11.6
1583,230.1
1584,182.6
1585,30.2
1586,106.3
1587,6.5
1588,21.8
1589,34.1
1590,118.3
1591,6.1
1592,45.3
1593,20.3
1594,8.4
1595,130.2
1596,2.1
1597,103.1
1598,2.8
1599,48.4
1600,14.0
1601,13.5
1602,29.8
1603,19.1
1604,144.7
1605,4.8
1606,1.1
1607,43.2
1608,21.4
1609,1.3
1610,20.0
1611,16.3
1612,45.4
1613,31.5
1614,21.5
1615,64.4
1616,2.7
1617,26.5
1618,12.2
1619,7.7
1620,15.5
1621,15.9
1622,34.9
1623,86.3
1624,3.8
1625,7.6
1626,38.5
1627,34.4
1628,46.5
1629,80.9
1630,3.6
1631,0.7
1632,54.8
1633,6.4
1634,69.1
1635,4.1
1636,25.6
1637,32.5
1638,13.7
1639,1.3
1640,25.1
1641,30.1
1642,39.9
1643,68.0
1644,22.6
1645,6.8
1646,39.3
1647,16.6
1648,68.7
1649,20.9
1650,28.1
1651,34.3
1652,31.8
1653,1.1
1654,7.2
1655,2.8
1656,1.2
1657,27.0
1658,11.2
1659,9.2
1660,23.2
1661,0.9
1662,73.6
1663,3.8
1664,22.8
1665,7.4
1666,16.5
1667,10.8
1668,51.4
1669,0.1
1670,49.1
1671,12.0
1672,45.3
1673,12.9
1674,3.9
1675,11.8
1676,81.2
1677,23.6
1678,30.7
1679,34.7
1680,119.2
1681,32.5
1682,13.5
1683,49.9
1684,48.6
1685,52.6
1686,38.1
1687,68.6
1688,3.9
1689,2.4
1690,37.1
1691,29.1
1692,24.8
1693,2.4
1694,56.9
1695,24.9
1696,53.4
1697,22.6
1698,9.8
1699,15.3
1700,9.2
1701,3.3
1702,46.7
1703,27.7
1704,63.9
1705,6.0
1706,3.5
1707,2.5
1708,32.7
1709,39.0
1710,14.6
1711,11.4
1712,8.9
1713,33.8
1714,71.6
1715,0.3
1716,96.6
1717,38.0
1718,4.0
1719,17.2
1720,11.9
1721,20.2
1722,12.9
1723,19.5
1724,58.6
1725,25.4
1726,11.6
1727,1.9
1728,91.3
1729,50.0
1730,90.6
1731,1.6
1732,9.8
1733,12.7
1734,79.9
1735,54.7
1736,0.4
1737,95.8
1738,14.0
1739,20.8
1740,34.5
1741,80.0
1742,6.6
1743,40.0
1744,35.5
1745,4.6
1746,24.2
1747,17.6
1748,3.6
1749,21.3
1750,14.3
1751,4.6
1752,57.6
1753,104.9
1754,30.0
1755,35.9
1756,1.2
1757,41.7
1758,14.5
1759,72.0
1760,9.8
1761,0.5
1762,1.7
1763,11.7
1764,23.6
1765,58.4
1766,30.3
1767,44.3
1768,16.6
1769,30.1
1770,79.8
1771,45.4
1772,21.3
1773,8.7
1774,12.0
1775,4.2
1776,0.8
1777,26.2
1778,71.2
1779,49.7
1780,15.3
1781,33.1
1782,19.1
1783,15.2
1784,4.5
1785,34.8
1786,28.3
1787,6.8
1788,16.7
1789,15.1
1790,9.9
1791,3.0
1792,39.9
1793,2.8
1794,22.0
1795,12.0
1796,88.4
1797,38.1
1798,78.9
1799,44.2
1800,2.8
1801,5.7
1802,3.0
1803,5.8
1804,9.0
1805,44.6
1806,7.2
1807,3.2
1808,50.2
1809,0.6
1810,59.0
1811,60.5
1812,9.4
1813,24.5
1814,98.8
1815,56.5
1816,9.2
1817,15.8
1818,68.0
1819,7.8
1820,39.8
1821,5.6
1822,27.5
1823,10.9
1824,36.7
1825,40.7
1826,13.1
1827,3.1
1828,12.5
1829,14.6
1830,14.7
1831,42.1
1832,6.7
1833,9.6
1834,113.6
1835,11.0
1836,3.9
1837,31.3
1838,34.2
1839,35.2
1840,1.4
1841,26.8
1842,58.3
1843,0.9
1844,31.2
1845,40.0
1846,17.6
1847,62.7
1848,40.3
1849,15.0
1850,36.8
1851,87.5
1852,3.0
1853,29.5
1854,6.8
1855,38.4
1856,11.3
1857,7.0
1858,35.2
1859,13.3
1860,29.4
1861,48.0
1862,14.9
1863,22.0
1864,16.4
1865,4.9
1866,18.9
1867,22.6
1868,21.5
1869,12.2
1870,41.4
1871,26.5
1872,38.0
1873,28.4
1874,13.4
1875,5.1
1876,2.6
1877,60.0
1878,2.0
1879,30.6
1880,42.4
1881,3.6
1882,2.8
1883,12.4
1884,1.0
1885,13.4
1886,1.4
1887,23.0
1888,3.7
1889,4.6
1890,44.4
1891,24.3
1892,27.3
1893,28.8
1894,1.7
1895,1.2
1896,6.1
1897,21.2
1898,22.0
1899,33.1
1900,5.9
1901,52.7
1902,51.6
1903,34.1
1904,12.9
1905,11.3
1906,29.9
1907,56.2
1908,7.0
1909,7.9
1910,2.9
1911,76.6
1912,43.7
1913,14.7
1914,24.4
1915,38.4
1916,7.0
1917,12.1
1918,63.1
1919,15.3
1920,9.6
1921,10.6
1922,3.6
1923,7.5
1924,99.6
1925,7.6
1926,27.3
1927,11.0
1928,22.4
1929,65.6
1930,0.9
1931,3.9
1932,8.4
1933,54.5
1934,66.8
1935,16.0
1936,6.2
1937,6.9
1938,59.9
1939,70.3
1940,6.0
1941,33.4
1942,34.6
1943,10.2
1944,45.6
1945,23.1
1946,18.2
1947,38.3
1948,41.3
1949,53.7
1950,1.9
1951,6.0
1952,81.6
1953,85.1
1954,43.7
1955,7.7
1956,21.3
1957,23.8
1958,8.6
1959,9.3
1960,12.3
1961,44.9
1962,21.9
1963,37.9
1964,18.1
1965,20.7
1966,1.5
1967,32.5
1968,46.9
1969,43.0
1970,85.7
1971,1.8
1972,41.1
1973,2.1
1974,71.3
1975,0.2
1976,72.8
1977,12.7
1978,15.7
1979,24.2
1980,2.3
1981,5.5
1982,12.1
1983,5.2
1984,5.5
1985,9.0
1986,12.0
1987,11.1
1988,6.6
1989,66.3
1990,29.5
1991,1.6
1992,11.4
1993,2.7
1994,36.8
1995,7.8
1996,102.6
1997,33.8
1998,12.4
1999,5.8
2000,4.1
2001,2.5
2002,6.6
2003,36.8
2004,33.4
2005,46.6
2006,7.2
2007,10.5
2008,27.1
2009,76.3
2010,12.0
2011,5.3
2012,5.2
2013,17.2
2014,27.3
2015,129.4
2016,17.2
2017,17.4
2018,8.3
2019,47.3
2020,12.3
2021,58.4
2022,93.5
2023,44.3
2024,4.2
2025,16.4
2026,16.1
2027,0.1
2028,4.8
2029,21.8
2030,8.3
2031,20.0
2032,7.2
2033,18.3
2034,85.6
2035,0.8
2036,29.4
2037,22.8
2038,51.3
2039,24.2
2040,0.1
2041,38.8
2042,21.1
2043,3.6
2044,32.0
2045,19.3
2046,6.3
2047,22.5
2048,11.0
2049,14.0
2050,19.2
2051,19.8
2052,27.3
2053,79.5
2054,54.0
2055,65.7
2056,69.8
2057,35.8
2058,51.6
2059,5.8
2060,79.8
2061,78.6
2062,8.9
2063,24.3
2064,14.9
2065,67.4
2066,9.6
2067,29.6
2068,12.1
2069,75.0
2070,24.0
2071,24.6
2072,1.1
2073,9.5
2074,24.2
2075,16.8
2076,6.9
2077,59.7
2078,19.8
2079,7.1
2080,12.6
2081,1.5
2082,48.3
2083,12.3
2084,6.8
2085,22.9
2086,136.5
2087,83.2
2088,1.7
2089,4.6
2090,12.6
2091,6.0
2092,3.9
2093,3.5
2094,42.6
2095,16.1
2096,8.2
2097,14.9
2098,40.6
2099,35.0
2100,31.2
2101,11.0
2102,39.9
2103,7.3
2104,13.6
2105,80.2
2106,44.7
2107,7.6
2108,54.3
2109,18.4
2110,37.8
2111,12.0
2112,25.3
2113,7.9
2114,1.4
2115,25.6
2116,2.0
2117,4.4
2118,15.4
2119,52.9
2120,27.5
2121,9.9
2122,34.9
2123,33.6
2124,91.1
2125,8.0
2126,20.6
2127,70.8
2128,36.7
2129,18.4
2130,19.6
2131,3.1
2132,30.3
2133,1.7
2134,19.9
2135,14.3
2136,34.6
2137,115.3
2138,62.4
2139,26.0
2140,4.4
